time,role,annotator_id,analysed_account_id,answer,ground_truth_label,bot_quality
1637045070.1549406,BOTS+RANDOM,785202004,55393283,BOT,USER,
1637045071.2652557,BOTS+RANDOM,1351219319,320243261,IDN,BOT,LOW
1637045073.1006117,BOTS_ONLY,899202378,406571432,BOT,BOT,HIGH
1637045073.2851336,BOTS+RANDOM,889969266,552337157,BOT,BOT,MID
1637045075.8156116,BOTS_ONLY,1448919485,585763438,USER,BOT,MID
1637045078.6152534,BOTS+RANDOM,451926275,582922894,BOT,BOT,LOW
1637045079.1288958,BOTS+GROUPS_SHIFTED,1971868463,585830941,IDN,BOT,MID
1637045079.9199295,BOTS_ONLY,1448919485,583212667,USER,BOT,MID
1637045094.883737,BOTS_ONLY,899202378,13747936,USER,BOT,LIVE
1637045100.2522762,BOTS_ONLY,899202378,585826018,IDN,BOT,MID
1637045101.737984,BOTS+RANDOM,214950535,512320702,BOT,BOT,HIGH
1637045101.936556,BOTS+STUDENTS,870218866,55561431,USER,BOT,MID
1637045102.266382,BOTS+RANDOM,889969266,353100162,BOT,USER,
1637045104.2324138,BOTS_ONLY,1448919485,34628508,USER,BOT,LIVE
1637045105.9753797,BOTS_ONLY,899202378,431696099,IDN,BOT,MID
1637045112.1019192,BOTS_ONLY,1975879812,385896799,BOT,BOT,HIGH
1637045115.6768725,BOTS+RANDOM,785202004,291231134,USER,USER,
1637045119.6912994,BOTS+RANDOM,451926275,549343595,BOT,BOT,LOW
1637045121.4067426,BOTS+GROUPS_SHIFTED,591258635,156077945,USER,USER,
1637045121.6772957,BOTS_ONLY,1975879812,585442101,BOT,BOT,LIVE
1637045131.26759,BOTS+GROUPS_SHIFTED,1971868463,290945269,USER,USER,
1637045139.7406676,BOTS+RANDOM,889969266,170999293,BOT,USER,
1637045141.9413776,BOTS+RANDOM,451926275,190095606,BOT,BOT,LIVE
1637045142.222414,BOTS_ONLY,899202378,527933368,USER,BOT,HIGH
1637045142.496272,BOTS_ONLY,1448919485,372454383,USER,BOT,HIGH
1637045149.2267797,BOTS_ONLY,1975879812,578907942,IDN,BOT,MID
1637045149.9546435,BOTS_ONLY,923283466,140039052,BOT,BOT,LIVE
1637045152.454887,BOTS_ONLY,1448919485,168658222,BOT,BOT,MID
1637045152.666645,BOTS+GROUPS_SHIFTED,1971868463,386602620,IDN,BOT,MID
1637045153.2413104,BOTS+RANDOM,1767820372,582922894,BOT,BOT,LOW
1637045158.404841,BOTS_ONLY,1448919485,484810819,BOT,BOT,LOW
1637045159.0629437,BOTS_ONLY,1555616902,14111387,USER,BOT,LIVE
1637045159.9886668,BOTS+GROUPS_SHIFTED,1971868463,195377332,IDN,BOT,LIVE
1637045170.3558054,BOTS+RANDOM,214950535,580946738,BOT,BOT,MID
1637045173.9912467,BOTS_ONLY,899202378,193142608,BOT,BOT,LIVE
1637045176.7751095,BOTS+RANDOM,889969266,136507629,USER,BOT,LIVE
