descr,available,price,sn,shop,action,quality,action_n,quality_n
1000 Подписчиков  Стандартные 427   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 100 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,1000,0.427,vk,doctorsmm.csv,participate,high,3,3
5000 Подписчиков  Стандартные 2089   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 100 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,5000,0.4178,vk,doctorsmm.csv,participate,high,3,3
100 Подписчиков  Оптимальные 60   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 120 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,100,0.6,vk,doctorsmm.csv,participate,high,3,3
1000 Подписчиков  Оптимальные 592   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 120 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,1000,0.592,vk,doctorsmm.csv,participate,high,3,3
5000 Подписчиков  Оптимальные 2890   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 120 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,5000,0.578,vk,doctorsmm.csv,participate,high,3,3
10000 Подписчиков  Оптимальные 5590   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 120 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,10000,0.559,vk,doctorsmm.csv,participate,high,3,3
100 Друзей  на профиль Оптимальные 45   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,100,0.45,vk,doctorsmm.csv,friend,high,3,3
500 Друзей  на профиль Оптимальные 219   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,500,0.438,vk,doctorsmm.csv,friend,high,3,3
1000 Друзей  на профиль Оптимальные 429   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,1000,0.429,vk,doctorsmm.csv,friend,high,3,3
5000 Друзей  на профиль Оптимальные 2099   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,5000,0.4198,vk,doctorsmm.csv,friend,high,3,3
