time,annotator,analysed_acc_vk_id,human_answer,true_label,dataset
1649869286.8974252,7,688784424,BOT,['bot'],['PRmotion_A.txt']
1649869289.5217955,4,451409165,BOT,['bot'],"['smmpromo_C.txt', 'Mrpopular_D.txt', 'Mrpopular_E.txt']"
1649869295.7510326,6,689975315,BOT,['bot'],['Socelin_B.txt']
1649869296.5781713,4,677921061,НЕ ЗНАЮ,['bot'],['Z1Y1X1_B.txt']
1649869296.7614837,1,598052624,НЕ ЗНАЮ,['bot'],"['tmsmm _B.txt', 'smmOG_A.txt']"
1649869300.7989206,6,678239319,BOT,['bot'],"['GetLike.txt', 'smmtouch.txt', 'Likeinsta.txt']"
1649869302.7153096,1,420365609,USER,['bot'],['Mary_El_report_22_07.txt']
1649869305.5794735,6,686033815,BOT,['bot'],['Mrpopular_C.txt']
1649869306.760974,3,328209450,USER,['bot'],"['PARIK_LOW.txt', 'PARIK_MID.txt']"
1649869318.8420873,6,145585027,USER,"['student', 'shift']","['student', 'shift']"
1649869320.724083,1,21555643,BOT,['bot'],"['Smoservice_D.txt', 'Youliker_A.txt', 'Smoservice_F.txt']"
1649869321.755999,3,311032692,USER,['bot'],['smmyt_D.txt']
1649869328.16793,3,639597166,BOT,['bot'],['Mrpopular_C.txt']
1649869329.1280131,6,652953078,BOT,['bot'],"['tmsmm _C.txt', 'smmyt_B.txt']"
1649869340.1107297,3,103029651,BOT,['random'],['random']
1649869340.3928742,6,279052261,BOT,['random'],['random']
1649869347.3882258,6,689334592,BOT,['bot'],['smmpromo_A.txt']
1649869360.0723574,3,184853254,USER,"['student', 'shift']","['student', 'shift']"
1649869360.497783,6,342723252,USER,['bot'],['V-like.txt']
